Date,Shift,Equipment_Tag,Equipment_Name,Location,Parameter,Reading,Unit,Threshold,Status,Inspector,Remarks
2026-08-28,A,C-401,Compressor Stage 1,Compressor House,Discharge Temp,149.82,deg C,140,ALARM,P. Sharma,Flagged for maintenance review
2026-08-28,C,C-402,Compressor Stage 2,Compressor House,Discharge Temp,108.96,deg C,150,NORMAL,A. Kulkarni,Routine round
2026-08-28,A,T-501,Stripper Column,Unit 500,Bottom Temp,125.63,deg C,220,NORMAL,R. Deshmukh,Routine round
2026-08-28,A,T-502,Reboiler,Unit 500,Skin Temp,200.24,deg C,260,NORMAL,N. Iyer,Routine round
2026-08-28,A,PSV-601,Relief Valve - Reactor,Unit 600,Set Pressure Check,8.92,kg/cm2,15.0,NORMAL,P. Sharma,Routine round
2026-08-28,B,PSV-602,Relief Valve - Header,Unit 600,Set Pressure Check,9.24,kg/cm2,12.0,NORMAL,P. Sharma,Routine round
2026-08-28,B,TK-701,Naphtha Storage Tank,Tank Farm,Level,68.32,%,90,NORMAL,A. Kulkarni,Routine round
2026-08-28,B,TK-702,Slop Tank,Tank Farm,Level,67.81,%,85,NORMAL,N. Iyer,Routine round
2026-08-28,B,M-801,Cooling Tower Fan Motor 1,Cooling Tower,Winding Temp,71.81,deg C,120,NORMAL,S. Bhosale,Routine round
2026-08-28,A,M-802,Cooling Tower Fan Motor 2,Cooling Tower,Winding Temp,107.25,deg C,120,NORMAL,N. Iyer,Routine round
2026-08-28,A,E-901,Emergency Diesel Generator,Power House,Load,77.98,%,100,NORMAL,R. Deshmukh,Routine round
2026-08-29,A,P-101A,Feed Pump A,Pump House 1,Vibration,3.37,mm/s,4.5,NORMAL,S. Bhosale,Routine round
2026-08-29,B,P-101B,Feed Pump B (Standby),Pump House 1,Vibration,3.94,mm/s,4.5,NORMAL,S. Bhosale,Routine round
2026-08-29,C,P-102,Booster Pump,Pump House 1,Vibration,2.74,mm/s,4.5,NORMAL,S. Bhosale,Routine round
2026-08-29,C,HX-201,Feed-Effluent Exchanger,Unit 200,Shell Temp,139.74,deg C,180,NORMAL,P. Sharma,Routine round
2026-08-29,B,HX-202,Trim Cooler,Unit 200,Shell Temp,49.76,deg C,90,NORMAL,R. Deshmukh,Routine round
2026-08-29,A,V-301,Surge Drum,Unit 300,Pressure,9.42,kg/cm2,10.5,NORMAL,R. Deshmukh,Routine round
2026-08-29,B,V-302,Knockout Drum,Unit 300,Pressure,6.6,kg/cm2,8.0,NORMAL,P. Sharma,Routine round
2026-08-29,C,C-401,Compressor Stage 1,Compressor House,Discharge Temp,87.91,deg C,140,NORMAL,S. Bhosale,Routine round
2026-08-29,A,C-402,Compressor Stage 2,Compressor House,Discharge Temp,110.55,deg C,150,NORMAL,R. Deshmukh,Routine round
2026-08-29,A,T-501,Stripper Column,Unit 500,Bottom Temp,172.63,deg C,220,NORMAL,R. Deshmukh,Routine round
2026-08-29,B,T-502,Reboiler,Unit 500,Skin Temp,175.09,deg C,260,NORMAL,A. Kulkarni,Routine round
2026-08-29,B,PSV-601,Relief Valve - Reactor,Unit 600,Set Pressure Check,12.36,kg/cm2,15.0,NORMAL,P. Sharma,Routine round
2026-08-29,A,PSV-602,Relief Valve - Header,Unit 600,Set Pressure Check,13.94,kg/cm2,12.0,ALARM,P. Sharma,Flagged for maintenance review
2026-08-29,C,TK-701,Naphtha Storage Tank,Tank Farm,Level,50.7,%,90,NORMAL,A. Kulkarni,Routine round
2026-08-29,A,TK-702,Slop Tank,Tank Farm,Level,91.66,%,85,ALARM,S. Bhosale,Flagged for maintenance review
2026-08-29,A,M-801,Cooling Tower Fan Motor 1,Cooling Tower,Winding Temp,75.33,deg C,120,NORMAL,S. Bhosale,Routine round
2026-08-29,B,M-802,Cooling Tower Fan Motor 2,Cooling Tower,Winding Temp,100.64,deg C,120,NORMAL,P. Sharma,Routine round
2026-08-29,A,E-901,Emergency Diesel Generator,Power House,Load,82.73,%,100,NORMAL,A. Kulkarni,Routine round
2026-08-30,B,P-101A,Feed Pump A,Pump House 1,Vibration,4.1,mm/s,4.5,WARNING,R. Deshmukh,Flagged for maintenance review
2026-08-30,B,P-101B,Feed Pump B (Standby),Pump House 1,Vibration,2.77,mm/s,4.5,NORMAL,A. Kulkarni,Routine round
2026-08-30,A,P-102,Booster Pump,Pump House 1,Vibration,2.92,mm/s,4.5,NORMAL,N. Iyer,Routine round
2026-08-30,A,HX-201,Feed-Effluent Exchanger,Unit 200,Shell Temp,157.09,deg C,180,NORMAL,A. Kulkarni,Routine round
2026-08-30,B,HX-202,Trim Cooler,Unit 200,Shell Temp,76.69,deg C,90,NORMAL,A. Kulkarni,Routine round
2026-08-30,B,V-301,Surge Drum,Unit 300,Pressure,6.64,kg/cm2,10.5,NORMAL,S. Bhosale,Routine round
2026-08-30,B,V-302,Knockout Drum,Unit 300,Pressure,9.15,kg/cm2,8.0,ALARM,P. Sharma,Flagged for maintenance review
2026-08-30,C,C-401,Compressor Stage 1,Compressor House,Discharge Temp,97.7,deg C,140,NORMAL,S. Bhosale,Routine round
2026-08-30,B,C-402,Compressor Stage 2,Compressor House,Discharge Temp,134.63,deg C,150,NORMAL,A. Kulkarni,Routine round
2026-08-30,A,T-501,Stripper Column,Unit 500,Bottom Temp,168.26,deg C,220,NORMAL,R. Deshmukh,Routine round
2026-08-30,B,T-502,Reboiler,Unit 500,Skin Temp,200.39,deg C,260,NORMAL,N. Iyer,Routine round
2026-08-30,B,PSV-601,Relief Valve - Reactor,Unit 600,Set Pressure Check,11.61,kg/cm2,15.0,NORMAL,P. Sharma,Routine round
2026-08-30,C,PSV-602,Relief Valve - Header,Unit 600,Set Pressure Check,13.08,kg/cm2,12.0,ALARM,P. Sharma,Flagged for maintenance review
2026-08-30,C,TK-701,Naphtha Storage Tank,Tank Farm,Level,72.37,%,90,NORMAL,A. Kulkarni,Routine round
2026-08-30,B,TK-702,Slop Tank,Tank Farm,Level,95.73,%,85,ALARM,P. Sharma,Flagged for maintenance review
2026-08-30,C,M-801,Cooling Tower Fan Motor 1,Cooling Tower,Winding Temp,79.94,deg C,120,NORMAL,S. Bhosale,Routine round
2026-08-30,B,M-802,Cooling Tower Fan Motor 2,Cooling Tower,Winding Temp,88.52,deg C,120,NORMAL,N. Iyer,Routine round
2026-08-30,A,E-901,Emergency Diesel Generator,Power House,Load,80.8,%,100,NORMAL,N. Iyer,Routine round
